Name,Tags
bullet,"bullet,dot,period,circle,point"
bus,"busses, bussed, bussing, urban, city, metro, mass, transit, school, shuttle, public, transport, transportation, fare, fares, access, board, passenger, passengers, vehicle, route, pass, passes, service, municiple"
bus-alt,"busses, bussed, bussing, urban, city, metro, mass, transit, school, shuttle, public, transport, transportation, fare, fares, access, board, passenger, passengers, vehicle, route, pass, passes, service, municiple"
ca-capitol,"California, state, building, seat, govern, government, governor, Sacramento, capital, chambers, legislature, assembly, senate, neoclassical"
ca-state,"California, Unites States, map, outline"
cal,"calendar, calendars, agenda, time, season, seasons, seasonal, year, years, month, months, week, weeks, day, days, date, dates, schedule, scheduler, scheduling, plan, planner, planning, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday, set, holiday, day off, time off, save the date, meeting, pages, chart, timetable"
cal-bear,"California, CA, state, flag, flags, bear flag, mascot, bears, brown, grizzly, symbol, emblem, star, logo"
calculator,"calculate, calculations, computer, count, counter, number, numbers, add, subtract, divide, multiply, equals, percent, percentage, tally, sum, value, total, math, mathematical, mathematics, arithmetic, equations, electronic, device, keyboard"
calendar,"cal, calendars, agenda, time, season, seasons, seasonal, year, years, month, months, week, weeks, day, days, date, dates, schedule, scheduler, scheduling, plan, planner, planning, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday, set, holiday, day off, time off, save the date, meeting, pages, chart, timetable"
call,"caller, calling, phone, telephone, telecom, telecommunications, communications, phonecall, ring, ringer, ringing, ringtone, buzz, bell, tinkle, sound, volume, speak, speaking, speakerphone, contact, contact us, message, text"
camera,"cam, cameras, picture, photo, photograph, photographs, film, image, images, lens, focus, shutter, click, point, visual, device, optical, capture, develop"
campfire,"camp, camping, campers, campground, encampment, park, parks, state park, outdoors, fire, log, logs, crackling, s'mores, Girl Scouts, Boy Scouts, bonfire, picnic, cook, cooking, heat"
cannabis,"marijuana, hemp, CBD, pot, reefer, Mary Jane, plant, legal, drug, drugs, smoke, smoked, psychoactive, medicine, medicinal"
capitol,"California, state, building, seat, govern, government, governor, Sacramento, capital, chambers, legislature, assembly, senate, neoclassical"
car,"auto, autos, automobile, vehicle, motor, drive, driving, driver, transport, transportation, highway, freeway, motorway, road, traffic, DMV, ride, engine, passenger, passengers, wheel, exhaust, pollution"
car-alt,"auto, autos, automobile, vehicle, motor, drive, driving, driver, transport, transportation, highway, freeway, motorway, road, traffic, DMV, Department of Motor Vehicles, ride, engine, passenger, passengers, wheel, exhaust, pollution"
care-tweezers,"tweezer, tweeze, pinch, pincer, nip, nipper, pluck, hair, extract, health, healthcare, hygiene, medical, tool, sliver"
caret-down,"carets, arrow, arrows, point, points, pointer, indicate, indicator, direction, directions, control, controls, expand, collapse, open, close, section, accordion, down"
caret-fill-down,"carets, arrow, arrows, point, points, pointer, indicate, indicator, direction, directions, control, controls, expand, collapse, open, close, section, accordion, down"
caret-fill-left,"carets, arrow, arrows, point, points, pointer, indicate, indicator, direction, directions, control, controls, expand, collapse, open, close, section, accordion, left"
caret-fill-right,"carets, arrow, arrows, point, points, pointer, indicate, indicator, direction, directions, control, controls, expand, collapse, open, close, section, accordion. right"
caret-fill-two-down,"carets, arrow, arrows, point, points, pointer, indicate, indicator, direction, directions, control, controls, expand, collapse, open, close, section, accordion, down"
caret-fill-two-left,"carets, arrow, arrows, point, points, pointer, indicate, indicator, direction, directions, control, controls, expand, collapse, open, close, section, accordion, left"
caret-fill-two-right,"carets, arrow, arrows, point, points, pointer, indicate, indicator, direction, directions, control, controls, expand, collapse, open, close, section, accordion, right"
caret-fill-two-up,"carets, arrow, arrows, point, points, pointer, indicate, indicator, direction, directions, control, controls, expand, collapse, open, close, section, accordion, up"
caret-fill-up,"carets, arrow, arrows, point, points, pointer, indicate, indicator, direction, directions, control, controls, expand, collapse, open, close, section, accordion, up"
caret-left,"carets, arrow, arrows, point, points, pointer, indicate, indicator, direction, directions, control, controls, expand, collapse, open, close, section, accordion, left"
